school_id,year,success,ela_success,math_success
400310,2002,4.038,,4.038
400310,2003,4.697,,4.697
400310,2005,5.009,,5.009
400310,2007,6.087,6.631,5.544
400310,2008,6.624,6.989,6.258
400310,2009,6.683,7.026,6.34
400310,2010,7.033,7.012,7.053
400310,2011,7.429,7.533,7.326
400310,2012,7.191,7.285,7.097
400310,2013,7.104,7.074,7.134
400310,2014,7.051,7.21,6.893
400310,2004,5.107,,5.107
440410,2002,2.407,,2.407
440410,2003,2.12,,2.12
440410,2005,2.776,,2.776
440410,2007,4.311,5.456,3.165
440410,2008,4.256,5.349,3.162
440410,2009,4.364,5.674,3.054
440410,2010,5.006,5.94,4.073
440410,2011,4.909,5.833,3.984
440410,2012,3.94,4.959,2.922
440410,2013,4.649,5.02,4.277
440410,2014,4.029,4.971,3.086
440410,2004,2.651,,2.651
440420,2002,1.988,,1.988
440420,2003,2.195,,2.195
440420,2005,2.606,,2.606
440420,2007,4.112,5.362,2.862
440420,2008,4.025,5.189,2.861
440420,2009,4.339,5.761,2.917
440420,2010,4.18,5.4,2.96
440420,2011,5.056,6.049,4.064
440420,2012,5.218,6.181,4.255
440420,2013,5.125,5.865,4.385
440420,2014,5.017,5.642,4.392
440420,2004,2.498,,2.498
460005,2002,5.867,,5.867
460005,2003,5.392,,5.392
460005,2005,6.714,,6.714
460005,2007,6.578,6.711,6.444
460005,2008,6.933,6.933,6.933
460005,2009,7.619,7.619,7.619
460005,2010,7.222,7.302,7.143
460005,2011,7.705,7.705,7.705
460005,2012,7.908,7.943,7.872
460005,2013,8.132,7.931,8.333
460005,2014,7.712,7.514,7.91
460005,2004,6.311,,6.311
460015,2002,5.206,,5.206
460015,2003,7.196,,7.196
460015,2005,7.131,,7.131
460015,2007,7.078,7.407,6.749
460015,2008,7.436,7.436,7.436
460015,2009,7.549,8.088,7.01
460015,2010,8.085,8.01,8.159
460015,2011,7.229,7.349,7.108
460015,2012,7.231,6.935,7.527
460015,2013,7.56,7.659,7.46
460015,2014,7.341,7.103,7.579
460015,2004,6.343,,6.343
460020,2002,5.833,,5.833
460020,2003,6.957,,6.957
460020,2005,5.926,,5.926
460020,2007,6.622,7.387,5.856
460020,2008,6.771,6.875,6.667
460020,2009,7.552,7.917,7.187
460020,2010,6.184,6.93,5.439
460020,2011,7.841,7.879,7.803
460020,2012,8.007,8.043,7.971
460020,2013,6.738,7.092,6.383
460020,2014,7.833,8.133,7.533
460020,2004,6.202,,6.202
460025,2002,5.917,,5.917
460025,2003,4.902,,4.902
460025,2005,6.6,,6.6
460025,2007,7.927,7.236,8.618
460025,2008,7.719,7.544,7.895
460025,2009,8.429,8.286,8.571
460025,2010,8.235,8.137,8.333
