P,7.404,2011,03050310,100,100,13.4
P,7.227,2012,03050310,100,100,13.9
P,7.086,2014,03050310,100,100,13.4
P,7.859,2006,02460305,97.4,94.9,11.4
P,7.99,2007,02460305,96.9,95,11.2
A,8.163,2008,02460305,97.3,99.2,11.7
A,8.328,2010,02460305,100,100,12.3
P,8.09,2011,02460305,100,100,12.3
P,7.836,2012,02460305,100,100,12.6
P,7.942,2013,02460305,100,100,12.1
P,7.643,2014,02460305,100,98.7,12.0
NI,6.203,2007,00640305,100,95.1,14.5
P,6.317,2008,00640305,98.1,100,14.3
P,6.404,2009,00640305,100,100,14.8
P,6.455,2010,00640305,100,100,14.6
P,6.53,2011,00640305,96.3,94.8,15.1
P,6.321,2012,00640305,100,97.8,17.0
NI,6.167,2013,00640305,99.5,97.3,14.5
P,6.819,2006,06740505,86.1,83.5,13.6
P,7.097,2007,06740505,79.3,83.1,13.0
P,7.976,2009,06740505,96.7,98.6,10.6
P,7.174,2010,06740505,93.6,80.3,10.1
A,8.404,2013,06740505,97.5,95.5,10.5
P,7.476,2014,06740505,100,100,9.2
W,3.482,2006,00440080,81.8,81.8,14.2
W,4.13,2007,00440080,81.8,90.9,9.2
NI,4.94,2008,00440080,78.3,51.7,5.0
W,4.224,2009,00440080,100,80.4,7.4
W,3.95,2010,00440080,94.2,70.2,4.8
NI,5.333,2011,00440080,92.8,72.2,5.5
NI,5.089,2012,00440080,100,74,6.4
NI,5.667,2013,00440080,97.4,90.4,4.1
P,7.299,2006,02430510,95.6,82.2,14.9
A,8.491,2011,02430510,95,97.4,15.6
A,8.473,2012,02430510,97.8,100,15.5
A,8.417,2013,02430510,98,100,14.1
P,8.094,2014,02430510,98,100,13.3
P,7.809,2006,03170305,81.8,82.5,14.2
P,8.0,2009,03170305,94.6,94.9,11.8
P,8.1,2010,03170305,95.8,93,12.3
A,8.192,2011,03170305,96.6,97.6,12.3
A,8.174,2012,03170305,97.4,96.3,12.7
P,8.038,2013,03170305,98.9,100,12.3
NI,4.43,2008,00350490,96.8,90.9,12.0
NI,4.525,2009,00350490,96.8,94.2,11.3
NI,6.023,2006,03320305,98.5,98.2,15.1
P,6.326,2007,03320305,100,100,14.3
P,6.254,2008,03320305,97.4,87.7,12.6
P,6.638,2009,03320305,97.3,92,13.0
P,6.614,2011,03320305,98.6,100,12.9
P,6.815,2013,03320305,100,100,13.4
NI,5.516,2006,02440410,97.8,97.7,13.8
NI,5.791,2007,02440410,83.6,84.4,12.4
P,6.298,2008,02440410,97.5,94.9,14.3
P,6.357,2009,02440410,96.2,91.3,9.5
P,6.503,2010,02440410,100,96.2,11.1
P,6.34,2011,02440410,100,100,11.4
NI,6.212,2013,02440410,98.1,100,13.0
A,8.648,2006,01550505,93.6,96.3,12.2
A,8.957,2007,01550505,98.9,99.5,13.3
A,9.1,2008,01550505,99.4,99.8,12.9
A,9.224,2009,01550505,99.2,98.6,12.8
A,9.512,2011,01550505,100,100,12.7
A,9.502,2012,01550505,100,100,12.5
A,9.668,2013,01550505,99.4,99.8,12.8
A,9.655,2014,01550505,100,99.8,12.6
P,7.102,2007,04660550,95.2,87.5,9.5
P,7.188,2008,04660550,78.4,85.2,8.5
P,7.12,2009,04660550,62,89.9,6.8
P,7.54,2010,04660550,71.9,91.8,9.6
P,7.54,2011,04660550,70.1,97.7,9.2
P,7.578,2012,04660550,71,100,9.4
P,6.905,2013,04660550,79.9,100,10.1
A,8.148,2014,04660550,82.8,100,9.2
P,6.367,2006,03480512,87.2,87.4,16.6
P,7.087,2008,03480512,94.5,94.2,16.7
P,7.323,2009,03480512,93.3,91.6,16.4
P,7.679,2012,03480512,94.4,98.9,14.5
P,7.878,2013,03480512,97.6,100,14.0
P,7.835,2014,03480512,94.7,99.8,14.8
NI,6.179,2006,03430505,96.4,93.6,12.6
NI,6.2,2007,03430505,94.6,97.7,12.1
P,6.501,2009,03430505,96.4,78.9,16.2
P,6.485,2011,03430505,90.2,95.9,64.6
P,6.839,2012,03430505,100,100,13.2
P,6.359,2013,03430505,98.2,95.2,12.6
P,7.31,2008,01100305,98,100,13.3
P,7.264,2009,01100305,95.9,97.6,13.5
P,7.572,2010,01100305,98.1,98.3,13.0
P,7.677,2011,01100305,100,97.1,13.1
P,7.463,2014,01100305,100,100,14.5
NI,4.688,2009,02810030,89.1,93.9,10.0
NI,4.777,2006,02810030,74.4,72.1,8.5
W,4.345,2007,02810030,76.6,73.7,10.3
NI,5.172,2008,00350435,97.4,78.6,11.7
NI,5.78,2010,00350435,97.1,91.8,13.0
NI,5.491,2011,00350435,100,96,14.2
NI,5.719,2007,00350435,86.5,75.8,10.9
W,3.125,2009,01760510,100,100,3.8
NI,4.583,2006,01760510,100,100,3.4
P,6.865,2007,00960405,100,100,10.7
P,6.971,2008,00960405,100,100,10.3
P,6.802,2009,00960405,100,100,10.4
P,6.759,2010,00960405,100,100,10.8
P,7.247,2011,00960405,100,100,11.3
P,7.49,2012,00960405,100,100,9.8
P,7.419,2013,00960405,100,100,9.8
P,7.52,2014,00960405,100,100,10.3
A,8.558,2006,00260505,92.9,93.2,15.6
A,8.916,2007,00260505,94.8,94.7,15.7
A,9.172,2009,00260505,96.4,92.4,15.7
A,9.13,2010,00260505,95.3,93,15.3
A,9.415,2011,00260505,100,100,17.4
A,9.344,2012,00260505,100,99.7,17.7
A,9.473,2013,00260505,100,100,16.1
A,9.406,2014,00260505,100,100,16.8
NI,6.061,2006,02930042,96.1,95.3,14.7
P,6.644,2007,02930042,98.1,92.9,14.7
P,7.003,2009,02930042,95.8,96.9,15.9
P,6.894,2010,02930042,97.9,96,15.9
P,7.058,2011,02930042,97.9,100,17.5
P,7.731,2006,01620505,93.2,94.5,15.1
A,8.162,2008,01620505,97.7,97,14.1
A,8.428,2009,01620505,100,100,13.2
A,8.519,2010,01620505,100,100,12.8
A,8.598,2011,01620505,99.3,99.4,14.7
A,8.648,2012,01620505,100,100,13.5
P,8.016,2013,01620505,100,100,12.5
P,7.738,2014,01620505,100,100,13.0
