address,town,name,type,id,lat,long
77 Old Craigville Road,Hyannis,Enoch Cobb Early Learning Center,Public School,200001,41.6501075,-70.3182928
549 West Main Street,Hyannis,Hyannis West Elementary,Public School,200025,41.6499427,-70.31623700000002
2463 Main St Route 6A,West Barnstable,West Barnstable Elementary,Public School,200005,41.6982437,-70.3271319
760 Osterville-West Barnstable Road,Marstons Mills,West Villages Elementary School,Public School,200045,41.66231579999999,-70.3889468
165 Bearses Way,Hyannis,Barnstable Community Horace Mann Charter Public School,Charter School,4270010,41.6555139,-70.2931716
2001 Roosevelt Avenue,Springfield,Baystate Academy Charter Public School,Charter School,35020405,42.134821,-72.545492
9 Mudge Way,Bedford,Bedford High,Public School,230505,42.4913839,-71.2853449
99 McMahon Road,Bedford,John Glenn Middle,Public School,230305,42.4882048,-71.2860738
410 Davis Rd,Bedford,Lt Elezer Davis,Public School,230010,42.4837065,-71.311892
66 Sweetwater Avenue,Bedford,Lt Job Lane School,Public School,230012,42.5147468,-71.2759434
142 Springfield Road,Belchertown,Belchertown High,Public School,240505,42.2664535,-72.41021429999999
59 State Street,Belchertown,Chestnut Hill Community School,Public School,240006,42.2678132,-72.4123171
57 South Main Street,Belchertown,Cold Spring,Public School,240005,42.274329,-72.394772
62 North Washington Street,Belchertown,Jabish Middle School,Public School,240025,42.2670445,-72.3990996
57 State Street,Belchertown,Swift River Elementary,Public School,240018,42.2683909,-72.41043839999999
338 Hartford Avenue,Bellingham,Bellingham Early Childhood Center,Public School,250003,42.124951,-71.458563
60 Blackstone Street,Bellingham,Bellingham High School,Public School,250505,42.0751635,-71.4684972
130 Blackstone Street,Bellingham,Bellingham Memorial School,Public School,250315,42.074644,-71.4750883
60 Harpin Street,Bellingham,Keough Memorial Academy,Public School,250510,42.03265220000001,-71.4872766
70 Harpin Street,Bellingham,South Elementary,Public School,250020,42.0344965,-71.489463
342 Hartford Avenue,Bellingham,Stall Brook,Public School,250025,42.1234713,-71.4593101
221 Concord Avenue,Belmont,Belmont High,Public School,260505,42.3953048,-71.1652489
90 White Street,Belmont,Daniel Butler,Public School,260015,42.385981,-71.187552
266 School Street,Belmont,Mary Lee Burbank,Public School,260010,42.3885693,-71.1641291
121 Orchard Street,Belmont,Roger E Wellington,Public School,260035,42.3922261,-71.1720168
97 Waterhouse Rd,Belmont,Winn Brook,Public School,260005,42.399278,-71.166
95 Washington Street,Belmont,Winthrop L Chenery Middle,Public School,260305,42.3860353,-71.17071969999999
21 Notre Dame Avenue,Cambridge,Benjamin Banneker Charter Public School,Charter School,4200205,42.3920608,-71.131745
201 Main Street,Franklin,Benjamin Franklin Classical Charter Public School,Charter School,4470205,42.0890455,-71.4006007
25 Memorial Drive,Salem,Bentley Academy Charter School,Charter School,35110205,42.5279993,-70.88110759999999
59 South Main Street,Berkley,Berkley Community School,Public School,270010,41.83300939999999,-71.0885328
21 North Main Street,Berkley,Berkley Middle School,Public School,270305,41.8485141,-71.0861657
One Commercial Place,Adams,Berkshire Arts and Technology Charter Public School,Charter School,4140305,42.6195303,-73.12121069999999
600 Stockbridge Road,Great Barrington,Monument Mt Regional High,Public School,6180505,42.2485867,-73.33154230000001
313 Monument Valley Rd,Great Barrington,Monument Valley Regional Middle School,Public School,6180310,42.2441445,-73.32884179999999
318 Monumnet Valley Rd,Great Barrington,Muddy Brook Regional Elementary School,Public School,6180035,42.2439506,-73.3287405
34 South Street,Berlin,Berlin Memorial,Public School,280005,42.378023,-71.63866279999999
1001 Main Street,Boylston,Tahanto Regional High,Public School,6200505,42.37127820000001,-71.721214
40 Woodland Avenue,Beverly,Ayers/Ryal Side School,Public School,300055,42.551284,-70.890016
100 Sohier Rd,Beverly,Beverly High,Public School,300505,42.5646116,-70.8815731
7 Sohier Rd,Beverly,Briscoe Middle,Public School,300305,42.55921499999999,-70.8782125
17 Hull Street,Beverly,Centerville Elementary,Public School,300010,42.5789358,-70.8417892
20 Eisenhower Avenue,Beverly,Cove Elementary,Public School,300015,42.556047,-70.858329
41R Brimbal Avenue,Beverly,Hannah Elementary,Public School,300033,42.5685379,-70.868321
70 Balch Street,Beverly,McKeown School,Public School,300002,42.5632725,-70.89006680000001
48 Putnam Street,Beverly,North Beverly Elementary,Public School,300040,42.580137,-70.8801055
35 River Street,Billerica,Billerica Memorial High School,Public School,310505,42.5609642,-71.2731919
121 Lexington Rd,Billerica,Eugene C Vining,Public School,310030,42.5340281,-71.2591374
10 Biagiotti Way,North Billerica,Frederick J Dutile,Public School,310007,42.563674,-71.294788
59 Rogers Street,Billerica,Hajjar Elementary,Public School,310026,42.585425,-71.2797329
20 Kimbrough Rd,Billerica,John F Kennedy,Public School,310012,42.567823,-71.232623
110 Allen Rd,Billerica,Locke Middle,Public School,310310,42.551067,-71.2440869
15 Floyd Street,Billerica,Marshall Middle School,Public School,310305,42.5717507,-71.2736281
52 River Street,Billerica,Parker,Public School,310015,42.5576962,-71.2727046
39 Cook Street,Billerica,Thomas Ditson,Public School,310005,42.5370756,-71.22386370000001
65 Pleasant Street,Upton,Blackstone Valley,Public School,8050605,42.1633574,-71.61475089999999
200 Lincoln Street,Blackstone,A F Maloney,Public School,6220015,42.0289687,-71.5456062
175 Lincoln Street,Blackstone,Blackstone Millville RHS,Public School,6220505,42.0295349,-71.5384569
35 Federal Street,Blackstone,Frederick W. Hartnett Middle School,Public School,6220405,42.02253169999999,-71.52934479999999
200 Lincoln Street,Blackstone,John F Kennedy Elementary,Public School,6220008,42.0289687,-71.5456062
122 Berthelette Way,Millville,Millville Elementary,Public School,6220010,42.0349987,-71.57184090000001
800 Randolph Street,Canton,Blue Hills Regional Vocational Technical,Public School,8060605,42.1834614,-71.1032982
612 Metropolitan Av,Hyde Park,Another Course To College,Public School,350541,42.2652284,-71.1174455
121 Corey Road,Brighton,Baldwin Early Learning Center,Public School,350003,42.342044,-71.1405238
5125 Washington Street,West Roxbury,Beethoven,Public School,350021,42.2634318,-71.1558738
380 Shawmut Avenue,Boston,Blackstone,Public School,350390,42.34059449999999,-71.0726731
20 Church St,Back Bay,Boston Adult Academy,Public School,350548,42.3488158,-71.06821169999999
174 Ipswich Street,Boston,Boston Arts Academy,Public School,350546,42.3461819,-71.0949741
60 Hawthorne St,Roslindale,Boston Collaborative High School,Public School,350755,42.28301,-71.1263575
655 Metropolitan Ave,Hyde Park,Boston Community Leadership Academy,Public School,350558,42.2627834,-71.1178807
100 Maxwell St,Dorchester,Boston International High School,Public School,350507,42.2812491,-71.0809452
78 Avenue Louis Pasteur,Boston,Boston Latin,Public School,350560,42.337821,-71.1013384
205 Townsend Street,Dorchester,Boston Latin Academy,Public School,350545,42.316207,-71.0845329
25 Walk Hill Street,Jamaica Plain,Boston Teachers Union School,Public School,350012,42.294662,-71.116
25 Warren Street,Brighton,Brighton High,Public School,350505,42.3491377,-71.145516
396 Northampton Street,Boston,Carter Developmental Center,Public School,350036,42.3404889,-71.0830509
1060 Morton Street,Mattapan,Charles H Taylor,Public School,350054,42.27788049999999,-71.0774428
15 Basile Street,Roslindale,Charles Sumner,Public School,350052,42.2864481,-71.12684229999999
240 Medford Street,Charlestown,Charlestown High,Public School,350515,42.3801019,-71.0610567
28 Walker Street,Charlestown,Clarence R Edwards Middle,Public School,350430,42.3791366,-71.0673427
25 Glen Road,Jamaica Plain,Community Academy,Public School,350518,42.3089352,-71.1034659
11 Charles Street,Dorchester,Community Academy of Science and Health,Public School,350581,42.3008814,-71.0617324
493 Centre St.,Jamaica Plain,Curley K-8 School,Public School,350020,42.31854980000001,-71.1136132
195 Leyden Street,East Boston,Curtis Guild,Public School,350062,42.3884035,-71.0042158
37 Grove Street,East Boston,Dante Alighieri Montessori School,Public School,350066,42.307752,-71.06215999999999
302 Walnut Avenue,Roxbury,David A Ellis,Public School,350072,42.3169104,-71.0922791
60 Washington St,Dorchester,Dearborn,Public School,350074,42.3071524,-71.08116199999999
570 American Legion Highway,Roslindale,Dennis C Haley,Public School,350077,42.28637699999999,-71.107826
122 Cottage Street,East Boston,Donald Mckay,Public School,350080,42.3693811,-71.0342307
11 Charles St,Dorchester,Dorchester Academy,Public School,350651,42.3008814,-71.0617324
108 Babson Street,Mattapan,Dr. Catherine Ellison-Rosa Parks Early Ed School,Public School,350008,42.2718297,-71.09166809999999
1669 Dorchester Avenue,Dorchester,Dr. William Henderson Lower,Public School,350266,42.2938541,-71.0626636
18 Croftland Av,Dorchester,Dr. William Henderson Upper,Public School,350426,42.2814157,-71.069662
200 Heath Street,Jamaica Plain,ELC - West Zone,Public School,350006,42.3260086,-71.10655229999999
135 Grove Street,East Boston,East Boston Early Childhood Center,Public School,350009,42.3914881,-71.0271996
86 White Street,East Boston,East Boston High,Public School,350530,42.3810993,-71.0350735
60 Glenmont Road,Brighton,Edison K-8,Public School,350375,42.345453,-71.16019779999999
71 Pleasant Street,Dorchester,Edward Everett,Public School,350088,42.3136498,-71.05981299999999
16 Charter Street,Boston,Eliot Elementary,Public School,350096,42.3660903,-71.053403
164 School Street,Roxbury,Ellis Mendell,Public School,350100,42.316592,-71.1016609
95 G. Street,South Boston,Excel High School,Public School,350522,42.3328752,-71.044888
67 Alleghany St,Roxbury,Fenway High School,Public School,350540,42.3306688,-71.09930109999999
95 Needham Road,Hyde Park,Franklin D Roosevelt,Public School,350116,42.2430709,-71.1241695
30 Athol Street,Allston,Gardner Pilot Academy,Public School,350326,42.360776,-71.13395950000002
450 Poplar Street,Roslindale,George H Conley,Public School,350122,42.2747823,-71.127066
80 School St,Roxbury,Greater Egleston Community High School,Public School,350543,42.31413180000001,-71.09927909999999
50 Bunker Hill Street,Charlestown,Harvard-Kent,Public School,350200,42.3766804,-71.0577589
263 Blue Hill Avenue,Roxbury,Haynes Early Education Center,Public School,350010,42.31506539999999,-71.0788918
40 Gordon Avenue,Hyde Park,Henry Grew,Public School,350135,42.2567694,-71.1270755
160 Harrishof Street,Roxbury,Higginson,Public School,350015,42.31768340000001,-71.0915549
131 Walnut Avenue,Roxbury,Higginson/Lewis K-8,Public School,350377,42.3208269,-71.08694539999999
40 Armington Street,Allston,Horace Mann School for the Deaf,Public School,350750,42.3519992,-71.13770439999999
33 Trenton Street,East Boston,Hugh Roe O'Donnell,Public School,350141,42.3782673,-71.0380964
40 Armington Street,Allston,Jackson Mann,Public School,350013,42.3519992,-71.13770439999999
200 D Street,South Boston,James Condon Elementary,Public School,350146,42.33816059999999,-71.0525135
154 Ruskindale Road,Mattapan,James J Chittick,Public School,350154,42.26739,-71.104443
218 Marion Street,East Boston,James Otis,Public School,350156,42.375254,-71.03387099999999
205 Roxbury Street,Roxbury,James P Timilty Middle,Public School,350485,42.3305905,-71.09120759999999
