school id,year,percent attending college/univ,percent attending prive two year,percent attending private four year,percent attending public two year,percent attending public four year
7650505,2004,57.6,0.0,29.4,41.2,29.4
7670505,2004,78.3,0.0,26.0,26.0,48.0
7780505,2004,60.8,0.0,35.6,26.7,37.8
8010605,2004,39.0,0.0,16.7,53.3,30.0
8050605,2004,36.6,0.0,48.6,32.9,18.6
8060605,2004,41.9,8.0,26.7,46.7,18.7
8100605,2004,42.3,0.0,15.2,71.2,13.6
8150605,2004,36.4,0.0,25.0,61.4,13.6
8180605,2004,35.1,0.0,14.7,67.6,17.6
8210605,2004,40.7,0.0,10.4,80.5,9.1
8230605,2004,45.0,1.0,12.5,76.9,9.6
8250605,2004,38.4,1.6,21.9,58.6,18.0
8280605,2004,34.0,0.8,9.2,75.6,14.3
8290605,2004,22.4,0.0,15.8,73.7,10.5
8300605,2004,53.3,1.4,26.0,45.2,27.4
8320605,2004,46.3,0.0,15.2,66.7,18.2
8510605,2004,35.5,0.0,24.2,24.2,51.5
8520605,2004,33.3,0.0,8.3,69.4,22.2
8530605,2004,30.8,3.9,14.3,57.1,24.7
8550605,2004,34.8,0.0,25.0,65.0,10.0
8600605,2004,25.8,0.0,6.3,84.4,9.4
8710605,2004,39.0,0.9,12.5,59.8,26.8
8720605,2004,28.0,3.1,32.3,58.5,6.2
8730605,2004,35.1,2.5,20.0,60.0,17.5
8760605,2004,29.1,0.0,28.1,59.6,12.3
9100705,2004,56.0,0.0,17.0,51.1,31.9
9150705,2004,61.2,0.0,23.3,43.3,33.3
10505,2004,66.9,0.0,32.5,30.1,37.3
50505,2004,67.8,0.0,14.7,47.5,37.9
70505,2004,50.9,0.0,12.6,55.2,32.2
90505,2004,40.5,0.0,38.3,23.5,38.3
100505,2004,48.3,0.0,40.6,25.8,33.6
140505,2004,40.3,0.0,27.6,20.7,51.7
160505,2004,36.6,3.6,23.2,24.6,48.6
170505,2004,68.0,0.0,33.0,35.0,32.0
180510,2004,52.3,0.0,30.4,30.4,39.1
200505,2004,45.5,0.0,20.0,62.2,17.8
230505,2004,41.2,0.0,37.7,21.3,41.0
240505,2004,64.6,0.0,23.7,34.4,41.9
250505,2004,46.3,0.0,30.7,26.1,43.2
260505,2004,39.6,0.0,41.2,18.6,40.2
300505,2004,53.8,0.0,22.9,41.8,35.3
310505,2004,60.4,0.4,23.3,34.5,41.7
350505,2004,36.5,0.0,33.8,40.5,25.7
350515,2004,39.8,0.0,30.6,44.4,25.0
350522,2004,39.1,0.0,27.8,33.3,38.9
350525,2004,37.0,0.0,34.1,25.0,40.9
350530,2004,36.7,1.4,28.8,32.9,37.0
350535,2004,49.3,0.0,31.7,48.1,20.2
350537,2004,33.6,1.1,13.8,66.0,19.1
350540,2004,57.6,0.0,61.8,20.6,17.6
350541,2004,58.8,5.0,20.0,35.0,40.0
350542,2004,47.4,0.0,38.9,27.8,33.3
350545,2004,67.6,0.0,46.6,6.8,46.6
350546,2004,50.0,0.0,45.0,25.0,30.0
350548,2004,22.0,0.0,6.5,90.3,3.2
350558,2004,39.6,2.8,33.3,30.6,33.3
350560,2004,56.6,0.5,59.1,4.0,36.4
350575,2004,64.5,0.7,49.3,23.6,26.4
350690,2004,53.4,0.0,36.2,55.3,8.5
360505,2004,44.9,0.0,16.1,41.9,41.9
400505,2004,49.4,0.6,33.3,25.8,40.3
440505,2004,51.3,0.3,26.9,45.1,27.7
460505,2004,38.3,0.0,55.2,16.1,28.7
480505,2004,65.4,0.0,30.6,23.1,46.3
490506,2004,43.3,0.6,41.0,27.1,31.3
500505,2004,50.7,0.0,39.4,34.6,26.0
560505,2004,56.4,0.0,26.7,20.8,52.5
570505,2004,42.3,3.3,33.3,33.3,30.0
610021,2004,18.2,0.0,0.0,100.0,0.0
610505,2004,64.2,0.0,19.5,69.0,11.5
610510,2004,54.3,0.0,10.8,72.5,16.7
640505,2004,55.6,0.0,13.8,36.9,49.2
650505,2004,40.7,0.0,65.7,14.3,20.0
710505,2004,58.2,0.7,21.5,43.0,34.8
720505,2004,55.2,0.6,9.7,40.9,48.7
730505,2004,53.8,0.0,35.9,26.1,38.0
770505,2004,46.8,0.0,17.2,37.9,44.8
790505,2004,70.2,0.0,19.4,42.5,38.1
820505,2004,31.3,0.0,57.1,11.4,31.4
830505,2004,57.0,0.0,24.7,50.6,24.7
860505,2004,54.7,0.0,21.3,68.1,10.6
870505,2004,56.9,0.0,26.8,49.1,24.1
880505,2004,51.8,0.0,32.3,24.1,43.6
930505,2004,40.2,3.0,37.0,32.6,27.4
940505,2004,58.0,0.0,5.8,37.7,56.5
950505,2004,53.5,0.0,6.9,66.9,26.2
960505,2004,47.5,0.0,28.2,41.1,30.6
970505,2004,49.3,0.7,16.0,39.6,43.8
990505,2004,50.3,0.0,31.1,25.6,43.3
1000515,2004,43.5,0.0,27.9,28.9,43.2
1010505,2004,40.5,0.0,26.5,21.4,52.1
