school_id,year,success_raw,success_letter
00490050,2011,7.234,P
00490050,2012,7.519,P
02810560,2013,5.385,W
03470410,2006,6.855,P
03470410,2007,6.871,P
03470410,2008,6.871,P
03470410,2009,6.481,P
03470410,2010,6.707,P
03470410,2011,7.106,P
03470410,2012,6.645,P
03470410,2013,6.774,P
03470410,2014,6.747,P
01510015,2007,6.556,P
01510015,2008,7.023,P
01510015,2009,6.888,P
01510015,2010,7.242,P
01510015,2011,7.099,P
01510015,2012,7.199,P
01510015,2013,6.728,P
01510015,2014,6.446,P
01530045,2007,6.372,P
01530045,2008,6.381,P
01530045,2009,6.478,P
01530045,2010,6.358,P
01530045,2011,6.22,W
01530045,2012,6.178,W
01530045,2013,6.59,P
01530045,2014,6.118,W
03480405,2006,5.127,W
03480405,2007,5.448,W
03480405,2008,5.756,W
03480405,2009,5.829,W
03480405,2010,6.285,P
03480405,2011,6.192,W
03480405,2012,6.117,W
03480405,2013,5.81,W
03480405,2014,5.799,W
06150505,2006,6.651,P
06150505,2007,7.66,P
06150505,2008,7.546,P
06150505,2009,7.446,P
06150505,2010,7.021,P
06150505,2011,7.423,P
06150505,2012,6.988,P
06150505,2013,7.853,P
06150505,2014,7.07,P
01550305,2007,8.268,A
01550305,2008,8.249,A
01550305,2009,8.818,A
01550305,2010,8.544,A
01550305,2011,8.878,A
01550305,2012,8.656,A
01550305,2013,8.63,A
01550305,2014,8.137,A
00960505,2006,7.885,P
00960505,2007,7.678,P
00960505,2008,7.976,P
00960505,2009,8.427,A
00960505,2010,8.037,P
00960505,2011,8.453,A
00960505,2012,8.306,A
00960505,2013,8.671,A
00960505,2014,8.88,A
03480520,2006,5.893,W
03480520,2007,6.382,P
03480520,2008,6.155,W
03480520,2009,6.887,P
03480520,2010,6.711,P
03480520,2011,6.52,P
03480520,2012,6.793,P
03480520,2013,7.191,P
03480520,2014,7.002,P
00460030,2007,7.652,P
00460030,2008,8.363,A
00460030,2009,8.378,A
00460030,2010,8.14,A
00460030,2011,8.438,A
00460030,2012,7.788,P
00460030,2013,8.113,P
00460030,2014,8.47,A
01370055,2007,5.918,W
01370055,2008,6.622,P
01370055,2009,6.408,P
01370055,2010,6.434,P
01370055,2011,6.25,P
01370055,2012,5.861,W
01370055,2013,6.062,W
01370055,2014,5.697,W
00610021,2006,4.583,W
00610021,2007,3.71,NI
00610021,2008,4.211,NI
00610021,2009,4.062,NI
00610021,2010,4.75,W
00610021,2011,4.219,NI
00610021,2012,4.062,NI
00610021,2013,3.906,NI
00610021,2014,4.567,W
02740410,2011,4.375,NI
02740410,2012,4.231,NI
02740410,2013,3.571,NI
02740410,2006,4.0,NI
02740410,2007,4.125,NI
00950320,2007,5.637,W
00950320,2008,5.374,W
00950320,2009,5.954,W
00950320,2010,6.373,P
00950320,2011,6.534,P
00950320,2012,6.735,P
00950320,2013,6.796,P
00950320,2014,6.85,P
06100505,2006,8.307,A
06100505,2007,8.028,P
06100505,2008,8.209,A
06100505,2009,8.11,P
06100505,2010,8.373,A
06100505,2011,8.727,A
06100505,2012,8.715,A
06100505,2013,8.787,A
06100505,2014,8.333,A
00350377,2010,5.0,W
00350377,2011,4.671,W
00350377,2012,4.677,W
00350377,2013,4.871,W
00350377,2014,4.871,W
06580310,2006,6.466,P
06580310,2007,6.789,P
06580310,2008,6.939,P
06580310,2009,7.015,P
06580310,2010,7.241,P
06580310,2011,7.223,P
06580310,2012,7.174,P
06580310,2013,7.094,P
06580310,2014,6.731,P
02910305,2006,6.775,P
02910305,2007,7.035,P
02910305,2008,7.199,P
02910305,2009,7.181,P
02910305,2010,7.579,P
02910305,2011,7.666,P
02910305,2012,7.443,P
02910305,2013,7.72,P
02910305,2014,7.337,P
00570050,2007,5.34,W
00570050,2008,5.226,W
00570050,2009,5.748,W
00570050,2010,6.593,P
00570050,2011,6.572,P
00570050,2012,6.426,P
00570050,2013,6.203,W
00570050,2014,6.064,W
01370040,2007,4.604,W
01370040,2008,4.62,W
01370040,2009,4.386,W
01370040,2010,4.938,W
01370040,2011,5.263,W
01370040,2012,5.208,W
01370040,2013,5.745,W
01370040,2014,4.609,W
01050305,2013,7.073,P
01050305,2014,6.854,P
03470505,2006,7.676,P
03470505,2007,7.399,P
03470505,2008,7.454,P
03470505,2009,7.77,P
03470505,2010,7.749,P
03470505,2011,7.745,P
03470505,2012,7.984,P
03470505,2013,8.207,A
03470505,2014,8.084,P
01810055,2007,6.047,W
01810055,2008,5.828,W
01810055,2009,5.602,W
01810055,2010,5.983,W
01810055,2011,5.998,W
01810055,2012,5.869,W
01810055,2013,5.836,W
01810055,2014,6.025,W
03430515,2014,7.099,P
01380505,2006,8.11,P
01380505,2007,7.547,P
01380505,2008,7.687,P
01380505,2009,7.583,P
01380505,2010,7.486,P
01380505,2011,7.817,P
01380505,2012,7.743,P
01380505,2013,8.171,A
01380505,2014,8.082,P
04690505,2006,8.22,A
04690505,2007,8.37,A
04690505,2008,8.438,A
04690505,2009,9.263,A
04690505,2010,8.795,A
04690505,2011,7.833,P
04690505,2012,7.766,P
04690505,2013,7.856,P
04690505,2014,8.009,P
07100510,2006,7.484,P
07100510,2007,7.591,P
07100510,2008,7.777,P
07100510,2009,8.656,A
07100510,2010,8.88,A
07100510,2011,8.816,A
07100510,2012,8.701,A
07100510,2013,8.966,A
07100510,2014,8.788,A
02200505,2006,7.781,P
02200505,2007,7.771,P
02200505,2008,7.766,P
02200505,2009,7.862,P
02200505,2010,7.851,P
02200505,2011,8.225,A
02200505,2012,8.105,P
02200505,2013,8.368,A
02200505,2014,8.497,A
02930305,2006,5.766,W
02930305,2007,6.196,W
02930305,2008,5.866,W
02930305,2009,5.87,W
02930305,2010,5.727,W
02930305,2011,5.977,W
01760510,2009,3.125,NI
01760510,2006,4.583,W
00100410,2007,7.489,P
00100410,2008,7.696,P
00100410,2009,7.746,P
00100410,2010,7.953,P
00100410,2011,8.104,P
00100410,2012,8.11,P
00100410,2013,8.101,P
00100410,2014,8.045,P
00360505,2006,7.838,P
00360505,2007,7.612,P
00360505,2008,7.733,P
00360505,2009,8.283,A
00360505,2010,8.025,P
00360505,2011,8.068,P
00360505,2012,8.39,A
00360505,2013,8.432,A
00360505,2014,8.289,A
01600090,2007,5.5,W
01600090,2008,5.128,W
01600090,2009,5.479,W
01600090,2010,5.718,W
01600090,2011,5.486,W
01600090,2012,4.775,W
01600090,2013,5.802,W
01600090,2014,6.182,W
00300505,2006,8.037,P
00300505,2007,7.674,P
00300505,2008,7.516,P
00300505,2009,7.807,P
00300505,2010,7.887,P
00300505,2011,7.953,P
00300505,2012,8.156,A
00300505,2013,8.34,A
00300505,2014,8.383,A
02480505,2006,6.83,P
02480505,2007,6.871,P
02480505,2008,7.311,P
02480505,2009,7.436,P
02480505,2010,7.349,P
02480505,2011,7.389,P
02480505,2012,7.836,P
02480505,2013,8.208,A
02480505,2014,7.959,P
02810575,2013,5.724,W
07660505,2006,7.233,P
07660505,2007,7.286,P
07660505,2008,7.697,P
07660505,2009,7.969,P
07660505,2010,7.843,P
07660505,2011,7.957,P
07660505,2012,8.344,A
07660505,2013,8.502,A
07660505,2014,8.461,A
00050505,2006,7.332,P
00050505,2007,7.523,P
00050505,2008,7.612,P
00050505,2009,7.914,P
00050505,2010,8.166,A
00050505,2011,8.265,A
00050505,2012,8.045,P
00050505,2013,8.495,A
00050505,2014,8.224,A
01490535,2008,5.303,W
01490535,2009,5.557,W
01490535,2010,5.992,W
01490535,2011,5.847,W
01490535,2012,6.498,P
01490535,2013,6.671,P
01490535,2014,6.319,P
01390505,2006,8.435,A
01390505,2007,8.335,A
01390505,2008,8.789,A
01390505,2009,9.011,A
01390505,2010,8.983,A
01390505,2011,9.077,A
01390505,2012,9.115,A
01390505,2013,9.168,A
01390505,2014,9.266,A
06550505,2006,8.708,A
06550505,2007,8.954,A
06550505,2008,8.914,A
